person_id,movie_id
1,1308619
2,11
2,1891
2,1892
2,12122
2,13151
2,14919
2,16234
2,16366
2,45752
2,60293
2,140607
2,181808
2,181812
2,207703
2,353595
2,382322
2,533642
2,604079
2,842924
2,991494
2,1181107
2,1184918
3,11
3,28
3,78
3,85
3,87
3,89
3,217
3,592
3,838
3,1891
3,1892
3,2655
3,3525
3,4477
3,5503
3,6068
3,8665
3,9281
3,9331
3,9772
3,9869
3,11092
3,11860
3,12618
3,17339
3,38357
3,49849
3,80274
3,109410
3,109443
3,115348
3,138103
3,140607
3,293863
3,335977
3,335984
3,412117
3,481848
3,822119
4,11
4,525
4,639
4,1891
4,1892
4,2294
4,5143
4,10833
4,11974
4,13972
4,140607
4,181808
4,181812
5,11
5,8764
5,25993
5,42668
6,11
6,123
6,1891
6,1892
6,1893
6,1895
6,12180
6,137106
6,140607
6,181808
6,181812
7,12
7,127380
10,12
10,585
10,14160
10,1076364
12,12
12,13205
13,12
13,35
13,103
13,1389
13,15301
13,64690
13,89492
13,127380
13,241239
13,309809
13,321741
13,328111
13,1206008
14,12
14,127380
18,12
18,2062
18,6589
18,8839
18,8920
18,9487
18,10022
18,11172
18,15653
18,15657
18,38757
18,57089
18,151960
18,218836
18,308531
18,420814
18,814340
18,1022787
19,12
19,14
19,2976
19,4951
19,6068
19,7326
19,7518
19,10490
19,10510
19,18203
19,50014
19,72358
19,82703
19,147773
19,211672
19,226486
19,238713
19,253134
19,272693
19,283366
19,346685
19,389015
19,481084
19,502416
19,525661
19,670292
19,974573
19,1267905
19,1522816
20,12
20,888
20,2280
20,10320
20,10468
20,10510
20,10992
20,15058
20,50359
20,597316
20,974573
22,24238
22,49051
23,2759
23,6972
23,10409
23,10628
24,1308619
31,13
31,497
31,568
31,591
31,594
31,640
31,857
31,858
31,862
31,863
31,2280
31,2565
31,2619
31,4147
31,5255
31,6538
31,6951
31,8358
31,9489
31,9800
31,10023
31,10193
31,10466
31,11287
31,11974
31,12309
31,13448
31,59861
31,64685
31,77887
31,82424
31,83542
31,109424
31,207932
31,256835
31,296098
31,301528
31,339988
31,363676
31,446354
31,501907
31,516486
31,522402
31,532639
31,581032
31,614934
31,740985
31,747188
31,937278
31,940139
31,1084244
31,1137350
32,13
32,2100
32,2310
32,2493
32,5955
32,9741
32,10207
32,12572
32,16995
32,17979
32,60308
32,65754
32,75622
32,111190
32,157849
32,253412
32,297762
32,335984
32,464052
32,763215
32,940139
33,13
33,568
33,2067
33,2155
33,3595
33,7484
33,8688
33,9609
33,10145
33,10922
33,12106
33,585244
34,13
34,186
34,949
34,1634
34,1701
34,5123
34,6415
34,8489
34,9073
34,10216
34,12219
34,14746
34,19912
34,316727
34,393457
34,539651
34,1101448
34,1380682
35,13
35,788
35,1930
35,6878
35,9585
35,10327
35,10564
35,10860
35,11006
35,13681
35,17182
35,72976
35,102382
40,15
40,874
40,1092
40,1480
40,1857
40,3009
40,12208
40,33157
47,16
48,120
48,588
48,652
48,710
48,1635
48,2059
48,7299
48,8195
48,8398
48,9315
48,9701
48,9869
48,12103
48,32657
48,51620
48,61012
48,62764
48,76757
48,257344
48,286217
48,291081
48,441130
48,455476
48,1239193
49,59
49,1586
49,1735
49,1852
49,2112
49,6282
49,8978
49,9388
49,38365
49,59965
49,109418
49,146233
49,228203
49,234212
49,286567
49,299687
49,345911
50,16
50,649
50,2011
